Album,Artist.x,Rank,Year.x,Selection_Number,Artist.y,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,Year.y
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.367,0.353,6,-10.374,1,0.0334,0.587,0.0269,0.16,0.149,117.876,7cv8pIeOu1pkwCXW9D4Oef,https://api.spotify.com/v1/audio-analysis/7cv8pIeOu1pkwCXW9D4Oef,4,,,1,415748,FALSE,https://api.spotify.com/v1/tracks/7cv8pIeOu1pkwCXW9D4Oef,FALSE,Habitat,https://p.scdn.co/mp3-preview/23a00256ddb9508cc9ead0ebbf0bef21f6e8fedf?cid=bf03179b875d4cfeaee4754331640464,1,track,spotify:track:7cv8pIeOu1pkwCXW9D4Oef,https://open.spotify.com/track/7cv8pIeOu1pkwCXW9D4Oef,11:11,F#,major,F# major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.498,0.702,8,-6.741,1,0.0273,0.0074400000000000004,7.17e-5,0.112,0.404,104.969,6PsqixVNSE6N4WamoMFISK,https://api.spotify.com/v1/audio-analysis/6PsqixVNSE6N4WamoMFISK,4,,,1,125830,FALSE,https://api.spotify.com/v1/tracks/6PsqixVNSE6N4WamoMFISK,FALSE,Alaska,https://p.scdn.co/mp3-preview/14a24a802b3fca2345716f269e9d37c596393b4b?cid=bf03179b875d4cfeaee4754331640464,2,track,spotify:track:6PsqixVNSE6N4WamoMFISK,https://open.spotify.com/track/6PsqixVNSE6N4WamoMFISK,11:11,G#,major,G# major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.385,0.43,8,-10.558,1,0.0272,0.583,0.12,0.0813,0.202,150.846,2PvkmAPAOMYdRU5DDmFaxV,https://api.spotify.com/v1/audio-analysis/2PvkmAPAOMYdRU5DDmFaxV,4,,,1,310394,FALSE,https://api.spotify.com/v1/tracks/2PvkmAPAOMYdRU5DDmFaxV,FALSE,Iodine,https://p.scdn.co/mp3-preview/55bed8f44ad2ed4684ac34164a70e4e1009c2615?cid=bf03179b875d4cfeaee4754331640464,3,track,spotify:track:2PvkmAPAOMYdRU5DDmFaxV,https://open.spotify.com/track/2PvkmAPAOMYdRU5DDmFaxV,11:11,G#,major,G# major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.427,0.323,0,-8.568,1,0.0252,0.268,1.49e-4,0.0737,0.118,70.225,49wY4BXHtdZNCREfuHhser,https://api.spotify.com/v1/audio-analysis/49wY4BXHtdZNCREfuHhser,3,,,1,269301,TRUE,https://api.spotify.com/v1/tracks/49wY4BXHtdZNCREfuHhser,FALSE,Orange,https://p.scdn.co/mp3-preview/ce41ceb3ba442cdcf404f8b4e28979cd8b292c6d?cid=bf03179b875d4cfeaee4754331640464,4,track,spotify:track:49wY4BXHtdZNCREfuHhser,https://open.spotify.com/track/49wY4BXHtdZNCREfuHhser,11:11,C,major,C major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.576,0.643,7,-7.433,1,0.0236,0.23,9.56e-5,0.0757,0.621,98.024,3EUtLNLqtVOkoSah4k0qHD,https://api.spotify.com/v1/audio-analysis/3EUtLNLqtVOkoSah4k0qHD,4,,,1,167609,FALSE,https://api.spotify.com/v1/tracks/3EUtLNLqtVOkoSah4k0qHD,FALSE,Flora,https://p.scdn.co/mp3-preview/b7329a7341348620543ae92b3bf63f7dce5ffc45?cid=bf03179b875d4cfeaee4754331640464,5,track,spotify:track:3EUtLNLqtVOkoSah4k0qHD,https://open.spotify.com/track/3EUtLNLqtVOkoSah4k0qHD,11:11,G,major,G major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.486,0.336,7,-7.981,1,0.0254,0.656,1.63e-4,0.139,0.205,86.237,36aZOjVCmwLZl2zGhdi0AH,https://api.spotify.com/v1/audio-analysis/36aZOjVCmwLZl2zGhdi0AH,4,,,1,170602,FALSE,https://api.spotify.com/v1/tracks/36aZOjVCmwLZl2zGhdi0AH,FALSE,Respirate,https://p.scdn.co/mp3-preview/f9385f1f019b70d979e628c256361ebece0cf4c7?cid=bf03179b875d4cfeaee4754331640464,6,track,spotify:track:36aZOjVCmwLZl2zGhdi0AH,https://open.spotify.com/track/36aZOjVCmwLZl2zGhdi0AH,11:11,G,major,G major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.568,0.446,7,-8.092,1,0.0339,0.566,0.00602,0.107,0.283,121.944,3O0Mp0GQ3JphRIH3Ga6ZaE,https://api.spotify.com/v1/audio-analysis/3O0Mp0GQ3JphRIH3Ga6ZaE,3,,,1,205888,FALSE,https://api.spotify.com/v1/tracks/3O0Mp0GQ3JphRIH3Ga6ZaE,FALSE,Let,https://p.scdn.co/mp3-preview/68493dab4b2d32358d2e61f9d7bfa699a988da7e?cid=bf03179b875d4cfeaee4754331640464,7,track,spotify:track:3O0Mp0GQ3JphRIH3Ga6ZaE,https://open.spotify.com/track/3O0Mp0GQ3JphRIH3Ga6ZaE,11:11,G,major,G major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.339,0.532,8,-7.502,1,0.0296,0.372,1.76e-5,0.173,0.368,136.182,6TzOoRQKR7SERuLO1GEMLi,https://api.spotify.com/v1/audio-analysis/6TzOoRQKR7SERuLO1GEMLi,4,,,1,151125,FALSE,https://api.spotify.com/v1/tracks/6TzOoRQKR7SERuLO1GEMLi,FALSE,So What,https://p.scdn.co/mp3-preview/7e39fbea54fad8aa65ea0b54a2fb61cdf46ed11c?cid=bf03179b875d4cfeaee4754331640464,8,track,spotify:track:6TzOoRQKR7SERuLO1GEMLi,https://open.spotify.com/track/6TzOoRQKR7SERuLO1GEMLi,11:11,G#,major,G# major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.347,0.339,9,-9.093,1,0.0296,0.611,6.75e-6,0.113,0.169,134.141,4pB7WCRZrGfh82qQCqMVKc,https://api.spotify.com/v1/audio-analysis/4pB7WCRZrGfh82qQCqMVKc,4,,,1,211811,FALSE,https://api.spotify.com/v1/tracks/4pB7WCRZrGfh82qQCqMVKc,FALSE,Swimming,https://p.scdn.co/mp3-preview/515a464100fc5375a8670715c153b83decd51970?cid=bf03179b875d4cfeaee4754331640464,9,track,spotify:track:4pB7WCRZrGfh82qQCqMVKc,https://open.spotify.com/track/4pB7WCRZrGfh82qQCqMVKc,11:11,A,major,A major,2022
11:11,Pinegrove,25,2022,1,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,6sOmBkyGWJpzR04C7U7BZE,album,,2022-01-28,2022,day,0.467,0.81,11,-6.062,1,0.0364,0.32,0.00709,0.155,0.584,118.226,42NO5x8o5KNkXC0AWk8eXY,https://api.spotify.com/v1/audio-analysis/42NO5x8o5KNkXC0AWk8eXY,4,,,1,177929,FALSE,https://api.spotify.com/v1/tracks/42NO5x8o5KNkXC0AWk8eXY,FALSE,Cyclone,https://p.scdn.co/mp3-preview/1502a835ef1131dcefc50c537f38d340fad0e526?cid=bf03179b875d4cfeaee4754331640464,10,track,spotify:track:42NO5x8o5KNkXC0AWk8eXY,https://open.spotify.com/track/42NO5x8o5KNkXC0AWk8eXY,11:11,B,major,B major,2022
